raw,nemo,number_parser,raw_indic_conformer,raw_google_speech,raw_slang_google_speech,nemo_indic_conformer,nemo_google_speech,nemo_slang_google_speech,np_indic_conformer,np_google_speech,np_slang_google_speech
"check the cash back of the electricity payment ,check the cash back of the electricity payment","check the cash back of the electricity payment,check the cash back of the electricity payment","check the cash back of the electricity payment,check the cash back of the electricity payment",check the cash back of electricity payment,check the cashback of electricity payment,check the cashback of electricity payment,check the cash back of electricity payment,check the cashback of electricity payment,check the cashback of electricity payment,check the cash back of electricity payment,check the cashback of electricity payment,check the cashback of electricity payment
"make a request to rajesh hundred rupees,make a request to rajesh 100 rupees","make a request to rajesh hundred rupees,make a request to rajesh 100 rupees","make a request to rajesh 100 rupees,make a request to rajesh 100 rupees",,make a request to rajesh hundred rupees,make a request to rajesh hundred rupees,make a request to rajush rs100,make a request to rajesh hundred rupees,make a request to rajesh hundred rupees,make a request to rajush 100 rupees,make a request to rajesh 100 rupees,make a request to rajesh 100 rupees
"i want to send one lakh rupees to druthi,i want to send 100000 rupees to druthi","i want to send one lakh rupees to druthi,i want to send 100000 rupees to druthi","i want to send 100000 rupees to druthi,i want to send 100000 rupees to druthi",i want to send one lakh rupees to drti,i want to send 100000 rupees to priti,i want to send 100000 rupees to priti,i want to send one lakh rupees to drti,i want to send 100000 rupees to priti,i want to send 100000 rupees to priti,i want to send 100000 rupees to drti,i want to send 100000 rupees to priti,i want to send 100000 rupees to priti
"how much amount do i have as balance ,how much amount do i have as balance","how much amount do i have as balance,how much amount do i have as balance","how much amount do i have as balance,how much amount do i have as balance",how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance,how much amount do i have as balance
"send six hundred rupees to anjali as a gift ,send 600 rupees to anjali as a gift","send rs600 to anjali as a gift,send 600 rupees to anjali as a gift","send 600 rupees to anjali as a gift,send 600 rupees to anjali as a gift",send six hundred rupees to angeli as a gift,send 600 rupees to anjali as a gift,send 600 rupees to anjali as a gift,send rs600 to angeli as a gift,send 600 rupees to anjali as a gift,send 600 rupees to anjali as a gift,send 600 rupees to angeli as a gift,send 600 rupees to anjali as a gift,send 600 rupees to anjali as a gift
"open the QR scanner,open the qr scanner","open the qr scanner,open the qr scanner","open the qr scanner,open the qr scanner",open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner,open the qr scanner
"send fifty thousand to maa for her anniversary gift,send 50000 to maa for her anniversary gift","send 50000 to maa for her anniversary gift,send 50000 to maa for her anniversary gift","send 50000 to maa for her anniversary gift,send 50000 to maa for her anniversary gift",send fifty thousand to ma for her anniversary gift,send 50000 to mar a anniversary gift,send 50000 to mar a anniversary gift,send 50000 to ma for her anniversary gift,send 50000 to mar a anniversary gift,send 50000 to mar a anniversary gift,send 50000 to ma for her anniversary gift,send 50000 to mar a anniversary gift,send 50000 to mar a anniversary gift
"twenty,20","20,20","20,20",twenty,20,20,20,20,20,20,20,20
"show my saving account balance for pnb bank account ,show my saving account balance for pnb bank account","show my saving account balance for pnb bank account,show my saving account balance for pnb bank account","show my saving account balance for pnb bank account,show my saving account balance for pnb bank account",show my savings account balance square pnb bank account,show my savings account balance for pnb bank account,show my savings account balance for pnb bank account,show my savings account balance square pnb bank account,show my savings account balance for pnb bank account,show my savings account balance for pnb bank account,show my savings account balance square pnb bank account,show my savings account balance for pnb bank account,show my savings account balance for pnb bank account
"send five hundred rupees to ankitha,send 500 rupees to ankitha","send rs500 to ankitha,send 500 rupees to ankitha","send 500 rupees to ankitha,send 500 rupees to ankitha",send five hundred rupees to ankita,send 500 rupees to ankita,send 500 rupees to ankita,send rs500 to ankita,send 500 rupees to ankita,send 500 rupees to ankita,send 500 rupees to ankita,send 500 rupees to ankita,send 500 rupees to ankita
"gift sahil two thousand,gift sahil 2000","gift sahil 2000,gift sahil 2000","gift sahil 2000,gift sahil 2000",gift sahil two thousand,gift sahil 2000,gift sahil 2000,gift sahil 2000,gift sahil 2000,gift sahil 2000,gift sahil 2000,gift sahil 2000,gift sahil 2000
"pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill","pay my electricity bill,pay my electricity bill",pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill,pay my electricity bill
"i want seventy five rupees from hari ,i want 75 rupees from hari","i want rs75 from hari,i want 75 rupees from hari","i want seventy five rupees from hari,i want 75 rupees from hari",i earted seventyfive rupees from harry,i want 75 rupees from hari,i want 75 rupees from hari,i earted rs75 from harry,i want 75 rupees from hari,i want 75 rupees from hari,i earted seventyfive rupees from harry,i want 75 rupees from hari,i want 75 rupees from hari
"five not one,501","five not one,501","501,501",,fine art one,fine art one,pive naught one,fine art one,fine art one,pive naught 1,fine art 1,fine art 1
"scan and send six thousand six fifty rupees,scan and send 6650 rupees","scan and send 6006 rs50,scan and send 6650 rupees","scan and send 6650 rupees,scan and send 6650 rupees",skanan sent six thousand six hundred and fifty rupees,scan and send 6006 50 rupees,scan and send 6006 50 rupees,skanan sent rs6650,scan and send 6006 50 rupees,scan and send 6006 50 rupees,skanan sent 6650 rupees,scan and send 6056 rupees,scan and send 6056 rupees
"i want to say ok from payment to bigbasket,i want to say ok from payment to bigbasket","i want to say ok from payment to bigbasket,i want to say ok from payment to bigbasket","i want to say ok from payment to bigbasket,i want to say ok from payment to bigbasket",i want to say oka to payment from big basket,i want to say ok to payment from big basket,i want to say ok to payment from big basket,i want to say oka to payment from big basket,i want to say ok to payment from big basket,i want to say ok to payment from big basket,i want to say oka to payment from big basket,i want to say ok to payment from big basket,i want to say ok to payment from big basket
